core_clause_id	fgravegow_clause_id	clause_sha256
232	129567	577DC335BF576F69FB5A7FD0D2CA2E9855BB3ED97287911BB4D8E7153ED1D507
233	129579	2B870AF3BC0BC7F82A9014DA2518255BD938316BFC2BC60F50CFD3AB63F81DFA
234	129855	F606A5C73423A4AFD38AE0DD6935683487D1C78140E1FB608AA067A355774AF9
235	129867	EE5FDBB80911234B14F2EB67EC5EFF4CEFF80EC3678CE1C7EA4EE5DC2CE2B9CF
236	134737	8D1C7E3DF5FE7BD5C6FA629877C6FB6C242BAE0CC4FD9EA9AF287510CEE28D17
237	135077	C81482F5DC96F93C4A569557BBEB2A1E43AF44CA421330D0F53F989617427FDD
238	135598	62BF26CDC01E35ABCF334C61EFB9AFAEE3591F68EEDA9E93C4CE43BBA2BF49A2
239	135602	68E6FFC389D4EAACBE25E61B52C1D8754E5D44495AE95D13BB807B9D076A13F6
240	136657	55426E912909AF30101BDE0635A861D5F0055FE7C8517B54E74EC046785E1508
241	136781	3B9A9A17309876E351D87CFABC1E158424CBD7685C3247D05D51995598477969
242	137018	327EC9778BB7B9D5CE17342E9B3A1EF4D22C58085CAA6D3DC0285682C36B2901
243	139107	18DACEB6E1BB8FA96459FD048DBEEBBF9EA7DF40B46BCC3DE4322692B44FD91B
244	139119	01E6F7960DB285AFC7CFBC85EDC9AF68843468EF3B070CD585110FC186E9D71A
245	139143	D9096CB82DF34E7EA762BC64F2DAC40E236248A5C05E73097DEE3B51911CC4D3
246	139155	79CEDF36FE91ACE7A2CC588B47DD6E6508AB2D36B7FCFA5AE6D2537E2D73E379
247	139767	3280BEBC72475697B97E9CE7A30E307129C66299071125CAF4AB6FA4E2E9FA01
248	139779	A5420BDBA6A2B0278E56910F6C1FFA62FD3AB14D16BE39145723A3AAD813D87D
249	140055	6883623F5829A702B594B4854676AE2F52AE144A513726E0C66CC2EFC1414CBF
250	140067	BB69C19F05806157C42ABEF34CE210A461FECF0B1C5D79FF05F6397A34777508
251	144937	ACD5C17029C11868D88E99CD351E50E4655520646FBDB9A1733E6AF458FA6915
252	144939	E3AC3274A42E7DAD7394A9712084BF2E7F802619F901B15C66FD50526DDED18B
253	146105	5D1A7E2F19CC01B95020000E55A87878BA769E41AAC89A1957D2BCB7FAF19B8B
254	149307	9539D25EBC919AE4AA2135962C93CA0F9409C04A7FF10D0921547E98869CCD92
255	149319	69BE7F8128D6C7D188A38DB5AE11015B3BB01FAA08C4B3B038DDFB61ED35841E
256	149343	C89A6FC9441AAA781AAEFC0827D87084ECCB2237B069E7B3B59B497E8A61D533
257	149355	7E4A49DABCDEC90089AADC016CD96043462E5596B50C59FCCC5B75DF54634917
258	149967	C197C44C8D4FFE04BD5116506E7EEB9D6F89D87B2FD65E61187862FA9184B540
259	149979	6835792D2996E561268D75B30EF65A622541CC1FB3FAE15AC23C910784D28E55
260	150255	4033C571DDD1411D593713893E6EA55ABB1CAD62353597500D7E18307E9DC106
261	150267	DBADD8FB4F826BD4BE682A162FD55E3155B6B45D21D255F16A70DC25F2D2428D
262	155139	91ED3A5CB4A5C0B803AF51207070499CBE02E50956BFED1BB508967427E4CE50
263	156002	DC4A5D91FDDA4FB2A5BE10CAA624D96B8112E2EFE0D8149DB52741324C22B172
264	156305	65B9864F65EBB29C467AE057AAD3E108256C38DBF86792798731CCDEB446A69D
265	157057	06FF18F46CBB07DE251C71F31F446635163891B13374C0E24E4C6157E1C46891
266	157414	98D7E6108C9B85FB2FFD73B1EBB1049B623F66FF8C150188164A13331628D599
267	157418	CFA8B65419001AD408003FEAB4AEFF72674FCC7D4D583C332C495DFD0BD68BB4
268	159507	BA29AAC76F88896316A967807064E50329F6519E034497DC5F01A28A99EED1B5
269	159519	5C5ED1C4930B74FC3CC71B463890EF9EB1D55005CDFA00C55D89AD5BCCE1E327
270	159543	CFD3F34831A7D9C122B5A4F76519B160A1BC03BDEBEE269734B2F532C1D15FE6
271	159555	86D4386A8AB3CECB2CB7BAACD23CAE44C435B33A723ACF8137CCDEAD8750DCC3
272	160167	087A08A6F32B8F7A2E8EB3166B9B206ECA98CD09039334F6C0227634AB0355C0
273	160179	FEAF1B0873830C8DC1CC97D4F8126030251533B063C6A72C4F8D6445C99F9800
274	160467	5A7BCB560BE8A5B611DD84BFAFB7953EABA9970ABC5056D51D6FF13FFEF852EB
275	166198	1F0C570A3CBAE2A62576BC09C161EF802676AE4BEC3183A5D818198F814DC6AC
276	166202	40D1435B8E95FF5F395C7D018118CB7C7CECC7045006B2C29E6FD25313307BD8
277	167381	CD1417ECC8EBB40E98623B3AB59E5FD7B502C8DA2872B9A46775575411F97E22
278	167705	8A43BC464BB7434F7B0807DB13A4D94718E1C3992023A6A981509D4B24DD23F0
279	169707	C7AE468ACDE0581CE3F93948EE64BF9CDEC62828123A2D67ECF2DAD17A19FE31
280	169719	BE361E1431D5771533CF487F317EB3EC122E3A480585CA47E0BFC995B7788505
281	169743	F5FE177515EE7CF1E73BBB838B5DC1373DE36BCCA8E228022C0B61C5272B94B3
282	169755	2FA2966E12BD713BD7D584EBC0CFE24036A24EB0E63AD938DC42A2CA2967E26B
