core_clause_id	fodpo_clause_id	clause_sha256
160	621	F008EE5E24EF265050DCD7FB95D73882497B5D7103B3F8420DAF63778C78AFBE
161	623	B7B744F859AE741EF9E56E6FFC5C6FEC0FB408919E1A61F375F4B0C146F9BC92
162	625	8D1EC5A2EE38EC1055962B9A62214B2105EC5090D49F52839C89382363FEC2E1
163	627	3ADEDDF92C42EE759130FD3588861CAE17525E40414D1FAE08F3AD2D5ED6150D
164	629	AA02CDAE63BD59F47EE2A9EFAE045F7A1F2E9781671534235DA003765B807AE8
165	632	9DF62D0A91CF5F329FEA68501C47788E856BFBD85BB7E0ADC7F794FB09E28411
166	634	C9AAE08AABEC0BD6CAD89FBEE30ED243E7414A3ABF4DE0757285DE00D3EFBA08
167	636	28FBA2C48F154A57CC936E739BFB966718E08A9D41FDA313EAE75F89BA41D054
168	638	CF9281659B1C3C1668BBA6414148B158210450FBC3A210D3FAEE355E0C958328
169	640	08880C6B3EB6CA44534B79D1FB305A0DD38631CAFAA64BBA1B689CD107C1CD4A
170	642	58483A130CCD4CF6A1B9ABC3F066116E52ECE2145795DA4D3B4B1FD7E9A1FBC4
171	645	CE68FFB8137DF2CD92881A27AE4A71F208B4561D28928E4ED09ED4FBD5CA2265
172	647	28F703220DD4DFDE3FDD785392FD079607EA1FF7F6EE6473175E2346454787E2
173	649	8FA41191C7A5A5724A298C0229ACC855706F55BAD9D09592BA2CCDCBFC03286C
174	651	591A981EC3DC850EF5984A9A62D7AF9608C740B8778467B98547CA09A679548B
175	653	DF3D92DDD5938B898ABDA46D0AB1BDCABF7CCCF0B21919864523B32B9383AC00
176	655	B27769E5E43FE07AB60066B17FC0EDCC00AF8D2BFB5877F5AC0071434342CB69
177	657	E79E6BDB2EC295997D8915E0009938B33104AD1DE4124A0974C7446F6C564295
178	661	99BCFBC9D227D6402E2899D3000D4F01CB68298CB2C544F078040C87A0449C32
179	692	29D26F5D30CD331E5B1C2388AAB999BAE2FF1F32263D4B04F482790D166A45BF
180	696	4584E3DFBB57A7A6146704411C801D480F6D41F5B16605F4DEAD7E325DF5A4F7
181	697	42661ED6E349922BC3F68351DE1DE50057E918B5301147A947BEE633A49A68C3
182	698	D036D20264F7DF05F940FE027A27C6FD39A473C01657F2207304295B530F8254
183	699	E96E07A89F3BEE41831D85621E10B5C2857CDC527A0C48CBD313E8A03189FE3C
184	43606	FB4D69B2287F8063DFBC0EB4EA995D72AE3F42DD3E4FBAD97C277DE44CEED081
185	44392	AAA7B97206169593F074AB4B6257F4953174FBCB4D3B467E66F88F0E2EAD86E4
186	44420	E820AB3B6E3F2CD216468AA43048D8730BA91E5277B97E68F681DA42DFC81A4D
187	46420	4523A47809C72FCEFA20A022D08497C0F7E30798F4D9F49CBA1DACDEC186AA1B
188	46432	A9FC99F88F7E5ECE3BD732CE19E44826C05F789F118EEED3D290AC45C3A74169
189	48569	1699E866E4690D4D73FFDC6979224F2A9A0C86157500095A2F2B3B670F14248C
190	49003	785BC547FD0685A6DD89FFD160353C8B6BB3CEC3880C287BCB4599522FFF813D
191	54592	643CCA7054AF80A1DD19F36989524F107008EC9E98C0ECC1C884ACA83AA8DFC2
192	55794	980DD6F2EB747A5684AFB75DC9C9EC54431DAB2B7BB2FFF0ADE2243AABC05857
193	56620	D87AD037ADB26A9D902586979ABC8DD9D834FE2EFBCCC36D5BC8E777545180A6
194	56636	5C767A3EB63AFD60CC36C0787EA616803FC3221D748642067D2E385A10319099
195	58769	B17B541BD7E887F2DF21242A21BF3EDBE01C83A03B8A19B39DCC6C2E11CB15EC
196	58771	9949EB698A307EE2F8294772EB61C9F380B3C6533ABFCCB08E405221E0FE9B47
197	61702	2DC80CFE762F3B141C1CAA7DD12BBE1621B9489C70499B7475ACA966A502ECE6
198	64792	F9467B31E03CC5C449779B8810BA0971387688468E9D54137DC0E64486B5D62E
199	64816	F54912CCC223C6FD25954F214E851CF1937BCCE0206DB0D452A0F2E1635DC539
200	64820	8035B622D4DA5862A7549C27C8737CEE4AE5A905768D092940F6E75795AAADA7
201	66836	B34A70174C342F2A5BE2C1739A6359087AF2FA4A0A07C2A3DC0CB97171D05CED
202	70265	3852D5DDCDD15DCFEE9F9A0F9A09DE15FB9D48B7D81FF044C19DA36512A5B9F9
203	74088	33C30E9827ED2BBC362174F314F388D09E0B8A8360A4869503BD436B465AB0D1
204	74640	C84115EC1BBCA45E54371C0D8A723B6F1D2447ECAFCC7D77896B1639038F4DA2
205	74734	9D0B4FB05BBBDF02A20F73CBD39A759AF7B94EBB434C7F513E916B9123401ABE
206	74992	2C1475F74BE7E701AD40A1110C377CD0A55DEB3A6C521D49C142C01A450B0DA1
207	77020	42E8252C59DFE07F0C8B37037AB06479B1E14E1BF16A3AB2841B24A3D50B2CA4
208	77032	308C1CBEAE805CAAD428982A830E0FBD85E878EDA07E6B49DDC9FFA6874A112C
209	77036	EAFD37DDBB0FCE9D89BD9D691ADA508700D8CC5D19953B365A602AF10FF2E0C4
210	79169	B150864B7A3AF3A093C24B8D92F35B22219703FA54A6B0397AE0DD6B497BFAD6
211	79171	CF19DEEEACD9FD153DC3450A4EDA4EF2DEC70908A971EFAFDC416AEB22CFCBEC
212	79603	3CD3F1F69A2E1B3ADC390A81B92A8A9C364E5ACEC4D147783DCEF7BC6B904941
213	80513	EC2BC7CB2B185B1299516CF2A016459D7A094617700E6E86CF8784F70311B67C
214	82102	A65073F9B27F2D0BCA77878653514EB3B333629424B2D942FBC1680BFDE251D8
215	84264	7D70BBE371D06485BCF6C59883BE7950ED0B619B87A24BAE92077AE6B00FAF53
216	84406	0DB6D970DA9DDCE3D2CA642C85EED79D4332E7CA8C1C97593D021AEB4B2AB93C
217	85192	94165A6D2A3F5D79353FD8046B1E3CB9D18F5B0E5F381453A69517ACDF01CD65
218	85220	B368246829E1103E64B051E0D3720DC85CCB5701157AA77347E71124D1F7B818
